Título;Nacionalidad;Productor;Director;Año;Duración;Género;Sinopsis;Foto;Url
Atraco A Las Tres;ES;José Alted;José María Forqué;1962;92min;Comedia;Galindo works in a bank. One day he convinces the other employees in the bank to plan a hold-up in the bank they are working...;AtracoALasTres.jpg;https://www.imdb.com/title/tt0055763/
La Buena Estrella;ES;Enrique Cerezo;Ricardo Franco;1997;95min;Drama;Marina, a woman with a glass eye, has the bad luck to be the victim of an assault witnessed by Rafael...;LaBuenaEstrella.jpg;https://www.imdb.com/title/tt0118788/
Love Can Seriously Damage Your Health;ES;César Benítez;Manuel Gómez Pereira;1996;117min;ComediaRomance;Two young people meet in the 60's as a result of their devotion to John Lennon, and have a recurring relationship during the next thirty years at the oddest of moments...;LoveCanSeriouslyDamageYourHealth.jpg;https://www.imdb.com/title/tt0115536/
Mujeres Al Borde De Un Ataque De Nervios;ES;Agustín Almodóvar;Pedro Almodóvar;1988;88min;ComediaDrama;A television actress encounters a variety of eccentric characters after embarking on a journey to discover why her lover abruptly left her.;MujeresAlBordeDeUnAtaqueDeNervios.jpg;https://www.imdb.com/title/tt0095675/
Pulp Fiction;EEUU;Lawrence Bender;Quentin Tarantino;1994;154min;CrimenThriller;The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.;PulpFiction.jpg;https://www.imdb.com/title/tt0110912/
Solas;ES;Antonio P. Pérez;Benito Zambrano;1999;101min;Drama;Maria, whose parents live in the country, cannot stand her father's authoritarian ways and moves to the city...;Solas.jpg;https://www.imdb.com/title/tt0190798/
Talk To Her;ES;Agustín Almodóvar;Pedro Almodóvar;2002;112min;ComediaDrama;Two men share an odd friendship while they care for their girlfriends who are both in deep comas.;TalkToHer.jpg;https://www.imdb.com/title/tt0287467/
The Cider House Rules;EEUU;Alan C. Blomquist;Lasse Hallström;1999;126min;DramaRomance;A compassionate young man, raised in an orphanage and trained to be a doctor there, decides to leave to see the world.;TheCiderHouseRules.jpg;https://www.imdb.com/title/tt0124315/
The Ides Of March;EEUU;George Clooney;George Clooney;2011;101min;Drama;An idealistic staffer for a new presidential candidate gets a crash course on dirty politics during his stint on the campaign trail.;TheIdesOfMarch.jpg;https://www.imdb.com/title/tt1124035/
Thelma & Louise;EEUU;Mimi Polk Gitlin;Ridley Scott;1991;130min;CrimenDrama;An Arkansas waitress and a housewife shoot a rapist and take off in a '66 Thunderbird.;ThelmaLouise.jpg;https://www.imdb.com/title/tt0103074/
The Shawshank Redemption;EEUU;Liz Glotzer;Frank Darabont;1994;142min;CrimenDrama;Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.;TheShawshankRedemption.jpg;https://www.imdb.com/title/tt0111161/
Volver;ES;Enrique Morente;Pedro Almodóvar;2006;121min;ComediaDrama;After her death, a mother returns to her home town in order to fix the situations she couldn't resolve during her life.;Volver.jpg;https://www.imdb.com/title/tt0441909/
